quizzes,solutions,clue_numbers
859036271217958643634012895081569432965324708423107956372891564198645327546073089,859436271217958643634712895781569432965324718423187956372891564198645327546273189,74
259300648864529371137684592985073164416895237720146859671408923300761485548930716,259317648864529371137684592985273164416895237723146859671458923392761485548932716,73
810642735753981462406375891567810249138429576290756180371298654982564317645137920,819642735753981462426375891567813249138429576294756183371298654982564317645137928,75
924513876867092153135786942279134685650927314341865297493651728516278439782340561,924513876867492153135786942279134685658927314341865297493651728516278439782349561,78
857346219460109875091785436125078394786934152349502768674093581518467923932851647,857346219463129875291785436125678394786934152349512768674293581518467923932851647,75
571938426983624715642517839267100903158349672394276081036752198725891364819403257,571938426983624715642517839267185943158349672394276581436752198725891364819463257,75
925163874784295163013874295837429516156387429249516387472951638368742951591038742,925163874784295163613874295837429516156387429249516387472951638368742951591638742,79
279615384843927615156384927502146873738259146461873259987562431625431798314098060,279615384843927615156384927592146873738259146461873259987562431625431798314798562,77
679432581432815967815679243124758639390124875058396412987263154263541708541987326,679432581432815967815679243124758639396124875758396412987263154263541798541987326,78
716250398452903761089610425823791540064308179197465832931576284248139650675842913,716254398452983761389617425823791546564328179197465832931576284248139657675842913,73
952143678134678925687925143521364897879512364346897512468759231705231486213486750,952143678134678925687925143521364897879512364346897512468759231795231486213486759,79
864531792729684015350279846170802463436015928982346157597428031613957284248163579,864531792729684315351279846175892463436715928982346157597428631613957284248163579,75
154736982076289415829514037798421356563978124200653070912345768687092543435867291,154736982376289415829514637798421356563978124241653879912345768687192543435867291,74
265194873387625149914837652731258964096371285528946317853462791179583426642710538,265194873387625149914837652731258964496371285528946317853462791179583426642719538,79
631058297972613548485927063597236814263184759148579326314895672059702431726341985,631458297972613548485927163597236814263184759148579326314895672859762431726341985,77
524813679967425183318769245649582731173946850285371496832197564791654308456238917,524813679967425183318769245649582731173946852285371496832197564791654328456238917,79
942578136857163492310429587463205718178634209529780643680342970230957861795016324,942578136857163492316429587463295718178634259529781643681342975234957861795816324,73
302154986896732154504986732057841369481360527639527841745618293923475618168293475,372154986896732154514986732257841369481369527639527841745618293923475618168293475,77
273406590059273864486159732328645179917328456645917283561792348834061927792834610,273486591159273864486159732328645179917328456645917283561792348834561927792834615,76
468271539935486712217953864893764125740512398521839647352098471174325986689147253,468271539935486712217953864893764125746512398521839647352698471174325986689147253,79
395267418418593762762814390983756124020389657657421903271908536840635271536172849,395267418418593762762814395983756124124389657657421983271948536849635271536172849,75
047523891189476523352891476714652389265389147938147652823914065576238904491760238,647523891189476523352891476714652389265389147938147652823914765576238914491765238,77
364825719917346250852971463149632875078194326623587941286759034431268597795413682,364825719917346258852971463149632875578194326623587941286759134431268597795413682,78
731846529684295731529317684395078246246953810817462395153784962962531478478629153,731846529684295731529317684395178246246953817817462395153784962962531478478629153,79
583721496964853127271094358157246839426938015398517642849375261735162984612489573,583721496964853127271694358157246839426938715398517642849375261735162984612489573,79
748921365563478192291653847354789621126534978879216403982165734437890516615347289,748921365563478192291653847354789621126534978879216453982165734437892516615347289,79
514869327896372514327041096459628731731495680682713459263057948948206175175980263,514869327896372514327541896459628731731495682682713459263157948948236175175984263,75
684352107253100486791086350469823570175964823328571964947638215836215749512009638,684352197253197486791486352469823571175964823328571964947638215836215749512749638,73
267459381381672945945813267419708650652194873873526410720065134596341028134207596,267459381381672945945813267419738652652194873873526419728965134596341728134287596,74
732659148965810203481327596276985314143760859598401607317096405854173960629548731,732659148965814273481327596276985314143762859598431627317296485854173962629548731,73
347586921912347568586912374475869132869123457123475896691204085234758619758690243,347586921912347568586912374475869132869123457123475896691234785234758619758691243,78
380642951624195783159378426846219375291537648573860192412003867760421539035086214,387642951624195783159378426846219375291537648573864192412953867768421539935786214,74
614057238905823416832641579583216794497538162201470385758062941149785620326194807,614957238975823416832641579583216794497538162261479385758362941149785623326194857,74
641293578923057614587461932830705261475126893006389457798514326362978145154632789,641293578923857614587461932839745261475126893216389457798514326362978145154632789,76
759316284408795613360482597294571836683249075517638942972153468846927351135864729,759316284428795613361482597294571836683249175517638942972153468846927351135864729,78
086034529341925876259678431503286147862741953417359682625817394934562718178493265,786134529341925876259678431593286147862741953417359682625817394934562718178493265,78
965473281407218905281956437796134528143582796528769143814625379379841652652397014,965473281437218965281956437796134528143582796528769143814625379379841652652397814,78
357628194268491735941007826196374582734285619825910473479803261583162947612749358,357628194268491735941537826196374582734285619825916473479853261583162947612749358,77
769132548845697312213458967581749623320805479074203185637521894498376251152984736,769132548845697312213458967581749623326815479974263185637521894498376251152984736,77
403950082286374951159682374534198207891267435762435108945816723608723549327549816,473951682286374951159682374534198267891267435762435198945816723618723549327549816,75
639041872827963451415782693563174928982356714741298536270839165398615247156427389,639541872827963451415782693563174928982356714741298536274839165398615247156427389,79
589476321476201859231580746948627513153948267627153498712395684095864172864712930,589476321476231859231589746948627513153948267627153498712395684395864172864712935,77
782653941914728603635941728593407086471286539268539417856394172349102865127865394,782653941914728653635941728593417286471286539268539417856394172349172865127865394,77
675829134143657829892130657507291346219340578304078291931405782720913465456782013,675829134143657829892134657587291346219346578364578291931465782728913465456782913,73
471386052295041368836925714623059871549817236107200490914670523352194687768532149,471386952295741368836925714623459871549817236187263495914678523352194687768532149,73
092435876543786201678920345726309584931854027485267109359648712217590468864172953,192435876543786291678921345726319584931854627485267139359648712217593468864172953,74
184963572275841693396752481851439267943627158062018349637280904508194036419376825,184963572275841693396752481851439267943627158762518349637285914528194736419376825,75
348569172712084956596721438187436295925170643463952807831645720279813564650297381,348569172712384956596721438187436295925178643463952817831645729279813564654297381,76
068491752094025830520863419283146597075382164641579320459237601732618945816954273,368491752194725836527863419283146597975382164641579328459237681732618945816954273,73
175896234243175860896243150687329541329514078514687392760938420908452716452761983,175896234243175869896243157687329541329514678514687392761938425938452716452761983,75
328479651907651283165083479792145368510368927836927145681732594203594816459816730,328479651947651283165283479792145368514368927836927145681732594273594816459816732,76
892156704734829165165743892051674328647382951328915647219567483570438219080201576,892156734734829165165743892951674328647382951328915647219567483576438219483291576,75
158673094637429851492085736743291568865734912219856347576340089981560423324918675,158673294637429851492185736743291568865734912219856347576342189981567423324918675,76
167845092293671485584932760675428139842319576930756048758294613420163857016587920,167845392293671485584932761675428139842319576931756248758294613429163857316587924,74
138546297546972813972138654893614725610257389257893461329480576765329148481765932,138546297546972813972138654893614725614257389257893461329481576765329148481765932,79
962738145541062837738041269327485916485619723619320584290874651106093478874156392,962738145541962837738541269327485916485619723619327584293874651156293478874156392,75
680047512512836794794125683361784259259613078478592361927351046135468927846279135,683947512512836794794125683361784259259613478478592361927351846135468927846279135,77
135729068279486351840310792984063275527894106613257849798641523352978614460532987,135729468279486351846315792984163275527894136613257849798641523352978614461532987,75
952164783837295164641783295163508429294316578085429316318957640579642831426831957,952164783837295164641783295163578429294316578785429316318957642579642831426831957,78
149508763367419852258637941473951286682743195591862374934185620815276439706394518,149528763367419852258637941473951286682743195591862374934185627815276439726394518,78
314627598589143726762895341038714265471562903256389417095438172043271659127956834,314627598589143726762895341938714265471562983256389417695438172843271659127956834,77
631287954945163827872594613456831792018072465729645381563718249187429536294356178,631287954945163827872594613456831792318972465729645381563718249187429536294356178,79
937265814481739625562184379198307462246891530053642981879523146325416798614978253,937265814481739625562184379198357462246891537753642981879523146325416798614978253,78
497682135531749628826153794278536419014827563360491872742368901159274386683915247,497682135531749628826153794278536419914827563365491872742368951159274386683915247,78
872135469496728531513964827249803610387516294650492378024381056138609742965247180,872135469496728531513964827249873615387516294651492378724381956138659742965247183,74
956123487048695312231874569512738694387946125469201073625317940173489256894562731,956123487748695312231874569512738694387946125469251873625317948173489256894562731,77
783495126621837945549216387354609871962701403000540269017358694496172538835964712,783495126621837945549216387354629871962781453178543269217358694496172538835964712,73
297531846480729130315648927748952061631074259529163478863497512974215603152386794,297531846486729135315648927748952361631874259529163478863497512974215683152386794,76
241587369758936104093412875416825793937164058580379640824053916075691482169240537,241587369758936124693412875416825793937164258582379641824753916375691482169248537,73
829437651437165298165829370512983467746512839980746125671258943394671582258394716,829437651437165298165829374512983467746512839983746125671258943394671582258394716,79
702850149091327568685910273243785016169432857570691324956143782314278695827509431,732856149491327568685914273243785916169432857578691324956143782314278695827569431,74
039547128574102630128693574386759241241368795795214386452831967967405813013976452,639547128574182639128693574386759241241368795795214386452831967967425813813976452,76
865401973937586241214793856491378562526149738780650419350264197179030620642910385,865421973937586241214793856491378562526149738783652419358264197179835624642917385,73
103957248428316709579842013295468301684170925731529864346791582907285436852634107,163957248428316759579842613295468371684173925731529864346791582917285436852634197,74
749158623623479518518263709361792850854631972972584301487315296135926487206047130,749158623623479518518263749361792854854631972972584361487315296135926487296847135,75
215864937468379251973512486159286743730951628682437190597120364821643079346795812,215864937468379251973512486159286743734951628682437195597128364821643579346795812,77
219465738738912564564837219345781690692543187187296345853179426901624853426358971,219465738738912564564837219345781692692543187187296345853179426971624853426358971,79
324956801781432659569008234978213046456897312132645790803524967245769183097301425,324956871781432659569178234978213546456897312132645798813524967245769183697381425,73
974652138018479526256813794189247650563981472742365819425136980631798245897520361,974652138318479526256813794189247653563981472742365819425136987631798245897524361,77
852961304196743852374528096617354209289176435435892617548219763921607548763485921,852961374196743852374528196617354289289176435435892617548219763921637548763485921,77
915048726384726051762951348531487269296513487478269513659134872827695134143872695,915348726384726951762951348531487269296513487478269513659134872827695134143872695,79
938561274742839510165247893290318657813675429576492301351726908627984135409153762,938561274742839516165247893294318657813675429576492381351726948627984135489153762,76
061453879543987216897621534754819302326574190180236745618342950905068423432795681,261453879543987216897621534754819362326574198189236745618342957975168423432795681,74
762938541839451627154267398913574862475680139286319754341725986698143205527896413,762938541839451627154267398913574862475682139286319754341725986698143275527896413,79
791083402524917036368245179915876324243159768687432591436521987152798643879364215,791683452524917836368245179915876324243159768687432591436521987152798643879364215,78
203819765891756243765234891938070452617425938452983617106547329574392086320168070,243819765891756243765234891938671452617425938452983617186547329574392186329168574,73
605812947821749356794653218308271460046385172217964583580197634463528791179436820,635812947821749356794653218358271469946385172217964583582197634463528791179436825,75
634951278519782346827460095482396517751248639963175824196527483308619752275834961,634951278519782346827463195482396517751248639963175824196527483348619752275834961,78
719548632845623971326917584530276198981435207672189453158364729297851346463792815,719548632845623971326917584534276198981435267672189453158364729297851346463792815,79
394572180257816403681903752872060345543028619916435278128694537735281064469057821,394572186257816493681943752872169345543728619916435278128694537735281964469357821,73
981054672354267819267981543503012498849573126612809735438025961725196384196430207,981354672354267819267981543573612498849573126612849735438725961725196384196438257,74
762518943934276158185493726849032615327165094651984372473621589598347261216859430,762518943934276158185493726849732615327165894651984372473621589598347261216859437,78
371524689068317425542986713296873541154269378837145902603701294715492836429638057,371524689968317425542986713296873541154269378837145962683751294715492836429638157,76
127936458690584127408271693986745231574312986231869574849107362362490715715623849,127936458693584127458271693986745231574312986231869574849157362362498715715623849,77
195864230723159468806730951589647123074321895312598746037215680251986370968473512,195864237723159468846732951589647123674321895312598746437215689251986374968473512,74
436721895598364271172985634243178956659400018817596340365247189024819563981653427,436721895598364271172985634243178956659432718817596342365247189724819563981653427,76
769108245524769381138524697691385472305247916247091853913852764476910508852476109,769138245524769381138524697691385472385247916247691853913852764476913528852476139,75
756984312132006984894312576609843125483125769215769843527698431968431057341257608,756984312132576984894312576679843125483125769215769843527698431968431257341257698,76
748569132659321847230078956586932714417056293392147685875690421963214570124785069,748569132659321847231478956586932714417856293392147685875693421963214578124785369,75
539074801647821593802593674305469187496187352178352069954716238761038945283945706,539674821647821593812593674325469187496187352178352469954716238761238945283945716,74
132045768940687213687132594763014809590763421214598376071429685429856137856371942,132945768945687213687132594763214859598763421214598376371429685429856137856371942,75
967541823514283706238970451491835672726419385853762149682197534179354068345620917,967541823514283796238976451491835672726419385853762149682197534179354268345628917,77
137295486608713029952864371526148793379652814481937265795426138264381957810570642,137295486648713529952864371526148793379652814481937265795426138264381957813579642,77
701408692458692731692731458316587924587924310924316580169873245873245169245169803,731458692458692731692731458316587924587924316924316587169873245873245169245169873,76
413769852852143679079582413038974526526018794704256138385491267260830941941627085,413769852852143679679582413138974526526318794794256138385491267267835941941627385,74
070286591159347628862015034906531472315724869247698153508170246731462085624859317,473286591159347628862915734986531472315724869247698153598173246731462985624859317,73
980235160617489352532716894105678439876943215349521786751864923293157648068392571,984235167617489352532716894125678439876943215349521786751864923293157648468392571,77
284653971971284653653971284498325067167098325020167498819542736736819542542736819,284653971971284653653971284498325167167498325325167498819542736736819542542736819,77
105724806724960513968135472876590241593412607412876359251647938047389125089251764,135724896724968513968135472876593241593412687412876359251647938647389125389251764,74
576319842840657190193284576059431287314728659287065314961843725438072961725196038,576319842842657193193284576659431287314728659287965314961843725438572961725196438,75
756419208832576941149382657275164389983725416614893572561948723027651894498237165,756419238832576941149382657275164389983725416614893572561948723327651894498237165,79
056428370428371956371956428283719564719564283504283019830195642642837195195642837,956428371428371956371956428283719564719564283564283719837195642642837195195642837,76
495836120863172095127459863254983671601245938938017254589001740742598316316720589,495836127863172495127459863254983671671245938938617254589361742742598316316724589,73
485016927792485063316792854864123579957864231123907048271549086630271495549638712,485316927792485163316792854864123579957864231123957648271549386638271495549638712,75
925381476318746592764952830876429050531867209492510687649235718253178964187694305,925381476318746592764952831876429153531867249492513687649235718253178964187694325,75
569231748007569123231487956750923814148756392923148675314875269692300587875690431,569231748487569123231487956756923814148756392923148675314875269692314587875692431,75
148605379265739148379418265451962783692803451783541692936187524524396817817254936,148625379265739148379418265451962783692873451783541692936187524524396817817254936,79
416809732732146589589372416364915827827634105105287364978423651043561978051008240,416859732732146589589372416364915827827634195195287364978423651243561978651798243,73
486172395217593468359864271862731549594628137173945826735489612948216750621357084,486172395217593468359864271862731549594628137173945826735489612948216753621357984,79
275196348619483275348752619927618504534279861861340927192864753753921486486530192,275196348619483275348752619927618534534279861861345927192864753753921486486537192,78
945386201721954638308712490574869302132547986896123704280470569659238107417695823,945386271721954638368712495574869312132547986896123754283471569659238147417695823,73
249615873873492001061738249384069157157843926926571384718324690695187432432956718,249615873873492561561738249384269157157843926926571384718324695695187432432956718,76
406953281503182647812706359138274596965318472724695813287469135351827904049531728,476953281593182647812746359138274596965318472724695813287469135351827964649531728,76
932075648648923157157684932379518026426397581581462379713856294865209713294731860,932175648648923157157684932379518426426397581581462379713856294865249713294731865,77
300601587126857493758943261812579346634200759975436128497362805581794632263185974,349621587126857493758943261812579346634218759975436128497362815581794632263185974,75
957624813602831907813975642179562438526483179408107506391756284705248391284319765,957624813642831957813975642179562438526483179438197526391756284765248391284319765,75
