idx,blanks,bt_time,bf_time,bt_nodes,bf_nodes,ratio
1,7,2.506126200001745,7.92448890000378,7,4782969,683281.2857142857
2,8,2.7054799999968964,44.92827499999839,8,43046721,5380840.125
3,6,2.5512520000047516,4.148972200004209,6,531441,88573.5
4,3,2.2568619000012404,3.468266100004257,3,729,243.0
5,6,2.1755809000023874,4.014167200002703,6,531441,88573.5
6,6,2.20902770000248,4.067870600003516,6,531441,88573.5
7,2,2.653085600002669,4.774055399997451,2,81,40.5
8,4,2.658587700003409,4.833476799998607,4,6561,1640.25
9,3,2.3699998564552516e-05,0.003846300001896452,3,729,243.0
10,8,2.1599997126031667e-05,41.006432700000005,8,43046721,5380840.125
11,2,2.3500004317611456e-05,0.00037119999615242705,2,81,40.5
12,6,1.3900003978051245e-05,0.633740499994019,6,531441,88573.5
13,7,2.5399996957276016e-05,4.899364800003241,7,4782969,683281.2857142857
14,2,3.5700002626981586e-05,0.00042380000377306715,2,81,40.5
15,4,4.320000152802095e-05,0.009940500000084285,4,6561,1640.25
16,2,2.2300002456177026e-05,0.0003524000057950616,2,81,40.5
17,8,1.6999998479150236e-05,51.13659480000206,8,43046721,5380840.125
18,4,2.220000169472769e-05,0.010296000000380445,4,6561,1640.25
19,5,2.149999636458233e-05,0.060561099999176804,5,59049,11809.8
20,2,4.819999594474211e-05,0.0003924999982700683,2,81,40.5
21,6,1.6199999663513154e-05,0.6335079000054975,6,531441,88573.5
22,4,2.9299997549969703e-05,0.007944199998746626,4,6561,1640.25
23,3,1.7600003047846258e-05,0.0039360999944619834,3,729,243.0
24,2,2.3600005079060793e-05,0.000411000000895001,2,81,40.5
25,2,1.3600001693703234e-05,0.0003595999951357953,2,81,40.5
26,2,1.0899995686486363e-05,0.00038700000004610047,2,81,40.5
27,6,1.0900002962443978e-05,0.6073348999998416,6,531441,88573.5
28,8,3.1600000511389226e-05,41.686197600000014,8,43046721,5380840.125
29,7,3.2800002372823656e-05,6.1159651999987545,7,4782969,683281.2857142857
30,8,2.25000039790757e-05,44.94662640000024,8,43046721,5380840.125
31,3,3.4500000765547156e-05,0.003522999999404419,3,729,243.0
32,7,1.840000186348334e-05,4.670766100003675,7,4782969,683281.2857142857
33,7,4.859999899053946e-05,4.7733726000005845,7,4782969,683281.2857142857
34,5,4.140000237384811e-05,0.08468359999824315,5,59049,11809.8
35,3,2.099999983329326e-05,0.003594499998143874,3,729,243.0
36,3,1.8500002624932677e-05,0.003352199993969407,3,729,243.0
37,3,1.8300001102034003e-05,0.003965199997765012,3,729,243.0
38,4,3.680000372696668e-05,0.01138840000203345,4,6561,1640.25
39,4,1.920000067912042e-05,0.01477090000116732,4,6561,1640.25
40,6,2.0500003302004188e-05,0.5545421999995597,6,531441,88573.5
41,2,2.0300001779105514e-05,0.0003480000013951212,2,81,40.5
42,4,1.580000389367342e-05,0.010782199999084696,4,6561,1640.25
43,4,2.1399995603132993e-05,0.011498599997139536,4,6561,1640.25
44,8,2.3499997041653842e-05,54.07995989999472,8,43046721,5380840.125
45,8,2.3100001271814108e-05,44.472085899993544,8,43046721,5380840.125
46,7,2.390000008745119e-05,4.388914399998612,7,4782969,683281.2857142857
47,6,0.0001773999974830076,0.6563084999943385,6,531441,88573.5
48,5,2.2000000171829015e-05,0.06816499999695225,5,59049,11809.8
49,8,2.1399995603132993e-05,45.86049869999988,8,43046721,5380840.125
50,6,3.309999738121405e-05,0.5922378999966895,6,531441,88573.5
51,5,2.2900007024873048e-05,0.06887979999737581,5,59049,11809.8
52,6,3.189999551977962e-05,0.6275754000016605,6,531441,88573.5
53,5,2.3200002033263445e-05,0.07322350000322331,5,59049,11809.8
54,7,2.099999983329326e-05,6.0676863999979105,7,4782969,683281.2857142857
55,2,2.1599997126031667e-05,0.00036189999809721485,2,81,40.5
56,6,1.2399999832268804e-05,0.6260107999987667,6,531441,88573.5
57,4,2.2499996703118086e-05,0.021559599997999612,4,6561,1640.25
58,6,3.850000211969018e-05,0.48247400000400376,6,531441,88573.5
59,3,2.0899999071843922e-05,0.003190399998857174,3,729,243.0
60,3,2.1099993318784982e-05,0.0031549999985145405,3,729,243.0
61,4,1.479999627918005e-05,0.009969799997634254,4,6561,1640.25
62,2,1.930000144056976e-05,0.00036270000418880954,2,81,40.5
63,3,1.0900002962443978e-05,0.0032379999975091778,3,729,243.0
64,3,1.2099997547920793e-05,0.003314200002932921,3,729,243.0
65,7,1.9599996448960155e-05,7.285728700000618,7,4782969,683281.2857142857
66,4,2.42000023717992e-05,0.010778399999253452,4,6561,1640.25
67,8,2.2299995180219412e-05,63.267448700004024,8,43046721,5380840.125
68,5,2.939999831141904e-05,0.08984280000004219,5,59049,11809.8
